,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
1586,1586,1586,Lung,4,0.25,"CHST11,PLXDC2",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte","Alveolar Fibroblast, Adventitial Fibroblast, IGSF21+ Dendritic, EREG+ Dendritic","Lipofibroblast, EREG+ Dendritic, OLR1+ Classical Monocyte, Ionocyte, Neuroendocrine, Artery, Adventitial Fibroblast, Alveolar Fibroblast, Platelet/Megakaryocyte, Macrophage, Proliferating Macrophage, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Classical Monocyte","Alveolar Fibroblast,Macrophage","Adventitial Fibroblast, Mesoepithelial Type 2"
1587,1587,1587,Lung,4,0.25,"EBF1,PLIN2",Adipocyte,fat cell,CL:0000136,fat cell,"Mesothelial, Lipofibroblast, Bronchial Vessel 1, Pericyte","Bronchial Vessel 1, Pericyte, B, Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary Intermediate 1, Lipofibroblast, Mesothelial, Basophil/Mast 1, Basophil/Mast 2, Macrophage, Proliferating Macrophage","B,Basophil/Mast 1, Basophil/Mast 2","Alveolar Epithelial Type 2, Lipofibroblast"
1588,1588,1588,Lung,4,0.25,PDPN,Alveolar Type I,type I pneumocyte,CL:0002062,epithelial cell,"Lymphatic, Alveolar Epithelial Type 1, Adventitial Fibroblast, Lipofibroblast, Mesothelial","Basal, Alveolar Epithelial Type 1, Lymphatic, Adventitial Fibroblast, Lipofibroblast, Mesothelial",Lymphatic,"Lymphatic, Alveolar Epithelial Type 1"
1589,1589,1589,Lung,4,0.25,LAMP3,Alveolar Type II,type II pneumocyte,CL:0002063,epithelial cell,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Myeloid Dendritic Type 1","Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Myeloid Dendritic Type 1",Signaling Alveolar Epithelial Type 2,Alveolar Epithelial Type 2
1590,1590,1590,Lung,4,0.25,CR2,B cell_memory,memory B cell,CL:0000787,b cell,B cell,B (B cells),Not Found,B Cells
1591,1591,1591,Lung,4,0.25,"TUBA1A,DNAH5",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,epithelial cell,"Ciliated, Proximal Ciliated","Ciliated, Proximal Ciliated",Ciliated,Ciliated
1592,1592,1592,Lung,4,0.25,BPIFA1,Club Epithelial,club cell,CL:0000158,epithelial cell,"Goblet, Mucous, Serous","Goblet, Mucous, Serous, Neuroendocrine",Goblet,Ciliated
1593,1593,1593,Lung,4,0.25,"DCN,FBN1,COL1A2,COL6A2,SLIT2,COL6A3",Fibroblast,fibroblast,CL:0000057,fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast","Basal, Adventitial Fibroblast, Alveolar Fibroblast, Myofibroblast, Lipofibroblast",Adventitial Fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast"
1594,1594,1594,Lung,4,0.25,RELN,Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,Lymphatic,Lymphatic,Lymphatic
1595,1595,1595,Lung,4,0.25,"CPM,PTPRC,LYVE1,C1QA,CD74",Macrophage,macrophage,CL:0000235,macrophage/monocyte,"Capillary Aerocyte, Capillary Intermediate 1, IGSF21+ Dendritic, Lymphatic, B, Macrophage, Proliferating Macrophage","Neuroendocrine, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary Intermediate 1, Pericyte, Basophil/Mast 1, Basophil/Mast 2, IGSF21+ Dendritic, TREM2+ Dendritic, CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer, Nonclassical Monocyte, Intermediate Monocyte, Vein, Lymphatic, Mesothelial, Platelet/Megakaryocyte, Macrophage, Proliferating Macrophage",Mixture of Immune Cells,"Macrophage, Dendritic"
1596,1596,1596,Lung,4,0.25,TPSAB1,Mast Cell,mast cell,CL:0000097,granulocyte,"Basophil/Mast 1, Basophil/Mast 2","Bronchial Vessel 2, Basophil/Mast 1, Basophil/Mast 2",Basophil/Mast,"Basophil/Mast 1, Basophil/Mast 2"
1597,1597,1597,Lung,4,0.25,"DES,PDGFRB",Pericyte,pericyte,CL:0000669,pericyte,"Pericyte, Airway Smooth Muscle","Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte, Pericyte",Pericyte,"Airway Smooth Muscle, Vascular Smooth Muscle"
1598,1598,1598,Lung,4,0.25,"CNN1,GUCY1B3,ACTG2",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle, Pericyte","Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte, Vascular Smooth Muscle, Pericyte, Platelet/Megakaryocyte",Airway Smooth Muscle,"Vascular Smooth Muscle, Pericyte, Airway Smooth Muscle"
1599,1599,1599,Lung,4,0.25,"TRAC,NKG7,SKAP1",T cell,T cell,CL:0000084,t/nk cell,"CD8+ Memory/Effector T, Natural Killer, Proliferating NK/T","CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer, Proliferating NK/T",Natural Killer T,"CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T"
1600,1600,1600,Lung,4,0.25,"BACE2,PECAM1",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell,Mixture of cell types,"Ciliated, Goblet, Mucous, Bronchial Vessel 1, Lymphatic, Basophil/Mast 1, Basophil/Mast 2, Capillary Aerocyte, Capillary Intermediate 1, Platelet/Megakaryocyte, Macrophage, Proliferating Macrophage, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte","Nonclassical Monocyte, Macrophage, Ciliated","Ciliated, Mucous"
1601,1601,1601,Lung,4,0.25,"SFTPD,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,epithelial cell,Alveolar Epithelial Type 2,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Club",Alveolar Epithelial Type 2,"Alveolar Epithelial Type 2, Club"
1602,1602,1602,Lung,4,0.25,"MGAM,MMP25",neutrophil,neutrophil,CL:0000775,granulocyte,No significant results,No information available,Unknown/Mixed,Unknown
1603,1603,1603,Lung,4,0.25,"CD3E,CD69","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,Mixture of cell types,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T, CD4+ Memory/Effector T, Natural Killer T, Basophil/Mast 1, Basophil/Mast 2","CD4+ Memory/Effector T, Natural Killer T, Basophil/Mast 1, Basophil/Mast 2","CD4+ Memory/Effector T, Natural Killer T"
1604,1604,1604,Lung,4,0.25,"CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,Mixture of cell types,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T, CD8+ Naive T, Natural Killer T, Proliferating NK/T","CD8+ Naive T, Natural Killer T","CD8+ Naive T, Natural Killer T"
1605,1605,1605,Lung,4,0.25,"KLRF1,KLRB1",nk cell,natural killer cell,CL:0000623,t/nk cell,Natural Killer,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer, Proliferating NK/T",Natural Killer,"CD8+ Naive T, Natural Killer, Proliferating NK/T"
1606,1606,1606,Lung,4,0.25,"CCL14,POSTN",bronchial vessel endothelial cell,,,endothelial cell,Mixture of cell types,"Bronchial Vessel 1, Proximal Basal, Proliferating Basal, Ionocyte, Bronchial Vessel 1, Myofibroblast","Bronchial Vessel 1, Proximal Basal, Ionocyte, Myofibroblast",Bronchial Vessel 1
1607,1607,1607,Lung,4,0.25,"AC100803.2,DES",smooth muscle cell,smooth muscle cell,CL:0000192,muscle cell,Airway Smooth Muscle,"Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Airway Smooth Muscle,"Airway Smooth Muscle, Vascular Smooth Muscle"
1608,1608,1608,Lung,4,0.25,"IGFBP6,FBLN1",adventitial cell,adventitial cell,CL:0002503,adventitial cell,Adventitial Fibroblast,"Basal, Proximal Basal, Proliferating Basal, Adventitial Fibroblast, Basal, Proximal Basal, Differentiating Basal, Proliferating Basal, Adventitial Fibroblast, Alveolar Fibroblast","Adventitial Fibroblast, Alveolar Fibroblast","Basal, Proximal Basal, Adventitial Fibroblast"
1609,1609,1609,Lung,4,0.25,"APOE,C1QA",macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophage,"Neuroendocrine, Signaling Alveolar Epithelial Type 2, Lipofibroblast, Pericyte, Macrophage, Proliferating Macrophage, TREM2+ Dendritic, Mesothelial, Platelet/Megakaryocyte, Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, TREM2+ Dendritic","Macrophage, TREM2+ Dendritic","Macrophage, Proliferating Macrophage"
1610,1610,1610,Lung,4,0.25,"HPGDS,CPA3",basophil,basophil,CL:0000767,granulocyte,"Basophil/Mast 1, Basophil/Mast 2","Basophil/Mast 1, Basophil/Mast 2",Basophil/Mast 1,Basophil/Mast 1
1611,1611,1611,Lung,4,0.25,"S100A8,VSIR",classical monocyte,classical monocyte,CL:0000860,macrophage/monocyte,"Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte","Classical Monocyte, OLR1+ Classical Monocyte",Classical Monocyte,Classical Monocyte
1612,1612,1612,Lung,4,0.25,"SOX17,NOS1",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell,"Artery, Bronchial Vessel 1, Bronchial Vessel 2","Artery, Bronchial Vessel 1, Bronchial Vessel 2, Vein",Artery,Artery
1613,1613,1613,Lung,4,0.25,"C1orf194,C9orf24",lung ciliated cell,lung ciliated cell,CL:1000271,ciliated cell,"Ciliated, Proximal Ciliated, Platelet/Megakaryocyte","Ciliated, Proximal Ciliated, Platelet/Megakaryocyte",Ciliated,Ciliated
1614,1614,1614,Lung,4,0.25,"CLEC5A,PKIB",dendritic cell,dendritic cell,CL:0000451,dendritic cell,"Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, EREG+ Dendritic","Myeloid Dendritic Type 2, EREG+ Dendritic, Myeloid Dendritic Type 1",Myeloid Dendritic Type 2,Myeloid Dendritic Type 2
1615,1615,1615,Lung,4,0.25,"SCGB1A1,MSMB",respiratory goblet cell,respiratory goblet cell,CL:0002370,epithelial cell,Mucous,"Mucous, Capillary, Capillary Intermediate 1, Capillary Intermediate 2, Pericyte, Natural Killer, Proliferating NK/T, Basophil/Mast 1, Platelet/Megakaryocyte, Macrophage, IGSF21+ Dendritic, EREG+ Dendritic, Goblet",Goblet,Mucous
1616,1616,1616,Lung,4,0.25,"KRT15,ALDH3A1",basal cell,basal cell,CL:0000646,stem cell,"Basal, Proximal Basal, Proliferating Basal","Basal, Proximal Basal, Proliferating Basal",Basal,Basal
1617,1617,1617,Lung,4,0.25,"IGHG2,IGHG3",plasma cell,plasma cell,CL:0000786,b cell,unknown,Cell type not included in this dataset,Plasma,B
1618,1618,1618,Lung,4,0.25,"CD79A,MS4A1",b cell,B cell,CL:0000236,b cell,"B, Plasma","B, Plasma",B,Serous
1619,1619,1619,Lung,4,0.25,"LPO,TTYH1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,secretory cell,Serous,Serous,Serous,Serous
1620,1620,1620,Lung,4,0.25,"LST1,MAFB",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage/monocyte,"Myeloid Dendritic Type 2, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, EREG+ Dendritic, OLR1+ Classical Monocyte","Myeloid Dendritic Type 2, EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Adventitial Fibroblast, Alveolar Fibroblast",Myeloid Dendritic Type 2,"Myeloid Dendritic Type 2, Classical Monocyte"
1621,1621,1621,Lung,4,0.25,"VWF,FAM107A",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell,Vein,"Vein, Proximal Basal, Differentiating Basal, Proliferating Basal, Artery, Vein, Capillary Intermediate 2, Pericyte",Vein,"Vein, Proximal Basal, Adventitial Fibroblast"
1622,1622,1622,Lung,4,0.25,"CA4,EDNRB",capillary aerocyte,,,epithelial cell,"Capillary Aerocyte, Capillary, Capillary Intermediate 1","Capillary Aerocyte, Capillary, Capillary Intermediate 1, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary Intermediate 1, Airway Smooth Muscle, Pericyte",Capillary Aerocyte,"Capillary Aerocyte, Alveolar Epithelial Type 2, Airway Smooth Muscle"
1623,1623,1623,Lung,4,0.25,"UPK3B,SCEL",type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Mesothelial, Alveolar Epithelial Type 1",Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Mesothelial"
1624,1624,1624,Lung,4,0.25,"RAMP3,CLU",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,"Lymphatic, Vein","Vein, Capillary, Ciliated, Basal, Mucous, Serous, Neuroendocrine, Vein, Bronchial Vessel 1, Lymphatic, Myofibroblast, Fibromyocyte, Natural Killer T, Basophil/Mast 1, Basophil/Mast 2, Platelet/Megakaryocyte",Vein,"Capillary, Lymphatic, Vein"
1625,1625,1625,Lung,4,0.25,"RARRES2,DCN",alveolar fibroblast,,,fibroblast,"Alveolar Fibroblast, Adventitial Fibroblast, Lymphatic","Ionocyte, Alveolar Epithelial Type 1, Lymphatic, Alveolar Fibroblast, Basal, Adventitial Fibroblast, Alveolar Fibroblast",Alveolar Fibroblast,"Basal, Adventitial Fibroblast"
1626,1626,1626,Lung,4,0.25,"STAB2,CCL21",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,"Lymphatic, Lymphatic, Vascular Smooth Muscle, Lipofibroblast",Lymphatic,"Lymphatic, Vascular Smooth Muscle"
1627,1627,1627,Lung,4,0.25,"PLAC9,CNN1",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle, Artery, Vein, Adventitial Fibroblast","Artery, Vein, Lymphatic, Airway Smooth Muscle, Vascular Smooth Muscle, Adventitial Fibroblast, Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Vascular Smooth Muscle,Plasmacytoid Dendritic
1628,1628,1628,Lung,4,0.25,"CLEC4C,AL357143.1",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid Dendritic,Plasmacytoid Dendritic,Plasmacytoid Dendritic,"Club, Goblet"
1629,1629,1629,Lung,4,0.25,"GPRC5A,WFDC2",club cell,club cell,CL:0000158,epithelial cell,"Club, Alveolar Epithelial Type 1, Adventitial Fibroblast, Lipofibroblast, Differentiating Basal, Goblet, Mucous, Serous, Mesothelial, Platelet/Megakaryocyte","Club, Alveolar Epithelial Type 1, Adventitial Fibroblast, Lipofibroblast, Differentiating Basal, Goblet, Mucous, Serous, Mesothelial, Platelet/Megakaryocyte",Alveolar Epithelial Type 1,"Lipofibroblast, Alveolar Epithelial Type 1"
1630,1630,1630,Lung,4,0.25,"NPDC1,CLDN5",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,"Goblet, Capillary Aerocyte","Goblet, Neuroendocrine, Serous, Artery, Vein, Adventitial Fibroblast, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Platelet/Megakaryocyte, OLR1+ Classical Monocyte",Goblet,"Goblet, Capillary"
1631,1631,1631,Lung,4,0.25,"LMOD1,C2orf40",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,Vascular Smooth Muscle,"Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte, Ciliated, Proximal Ciliated, Vascular Smooth Muscle, Platelet/Megakaryocyte",Vascular Smooth Muscle,"Airway Smooth Muscle, Vascular Smooth Muscle"
1632,1632,1632,Lung,4,0.25,"LRRC38,KCTD8",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,Neuroendocrine,Neuroendocrine,Neuroendocrine,Neuroendocrine
1633,1633,1633,Lung,4,0.25,"PPP1R14A,NDUFA4L2",pericyte cell,pericyte,CL:0000669,pericyte,Pericyte,"Artery, Bronchial Vessel 2, Airway Smooth Muscle, Vascular Smooth Muscle, Pericyte, B, Platelet/Megakaryocyte, Plasmacytoid Dendritic, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, Basal, Pericyte",Pericyte,"Pericyte, Basal"
1634,1634,1634,Lung,4,0.25,"ITLN1,RSPO1",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,Alveolar Fibroblast,"Goblet, Mesothelial, Alveolar Fibroblast",Alveolar Fibroblast,"Goblet, Alveolar Fibroblast"
1635,1635,1635,Lung,4,0.25,"AC009269.2,SCN7A",fibroblast,fibroblast,CL:0000057,fibroblast,Adventitial Fibroblast,"Neuroendocrine, Adventitial Fibroblast, Alveolar Fibroblast",Adventitial Fibroblast,"Ionocyte, Adventitial Fibroblast"
1636,1636,1636,Lung,4,0.25,"AIF1,VCAN",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,"Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte","Macrophage, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Proximal Ciliated, Neuroendocrine, Myofibroblast, EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte",Classical Monocyte,"Macrophage, Classical Monocyte"
1637,1637,1637,Lung,4,0.25,"ASCL3,CLNK",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,Ionocyte,Ionocyte,Ionocyte,"Ionocyte, Adventitial Fibroblast"
1638,1638,1638,Lung,4,0.5,"EMP2,ARHGEF26,LAMA3,AGER,LMO7",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Alveolar Fibroblast, Platelet/Megakaryocyte, IGSF21+ Dendritic, Alveolar Epithelial Type 1, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Capillary Aerocyte, Platelet/Megakaryocyte",Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Alveolar Fibroblast"
1639,1639,1639,Lung,4,0.5,"LINC00926,SP140,CD79A,VPREB3,CD22",B,B cell,CL:0000236,b cell,B,"B, B, B, Plasma, B, Basophil/Mast 1, Basophil/Mast 2",B,"B, Plasma"
1640,1640,1640,Lung,4,0.5,"KRT19,KRT5,KRT15,KRT17,CLDN1",Basal,basal cell,CL:0000646,stem cell,Basal,"Basal, Proximal Basal, Differentiating Basal, Proliferating Basal, Mesothelial",Basal,"Basal, Proliferating Basal"
1641,1641,1641,Lung,4,0.5,"CD99,VCAN,METTL9,CTSS,CSF3R",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,"Macrophage, Classical Monocyte","Ciliated, Basal, Alveolar Epithelial Type 1, Capillary Intermediate 1, Pericyte, Classical Monocyte",Basal,"Ciliated, Alveolar Epithelial Type 2"
1642,1642,1642,Lung,4,0.5,"CAMK4,CD6,CD2,LEF1,TRAT1",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,"CD4+ Memory/Effector T, CD8+ Memory/Effector T","CD8+ Memory/Effector T, CD4+ Memory/Effector T, CD4+ Naive T",CD4+ Memory/Effector T,"CD4+ Memory/Effector T, CD8+ Memory/Effector T"
1643,1643,1643,Lung,4,0.5,"SNTN,CDHR3,C20orf85,CAPS,ZMYND10",Ciliated,ciliated cell,CL:0000064,ciliated cell,Ciliated,"Ciliated, Proximal Ciliated, Platelet/Megakaryocyte",Ciliated,Ciliated
1644,1644,1644,Lung,4,0.5,"RGS1,GPR183,FCGR2B,HLA-DPB1,CSF2RA",Dendritic,dendritic cell,CL:0000451,dendritic cell,"Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, B","Natural Killer T, CD4+ Memory/Effector T, Myeloid Dendritic Type 2, Myeloid Dendritic Type 1",Plasmacytoid Dendritic,"Classical Monocyte, TREM2+ Dendritic"
1645,1645,1645,Lung,4,0.5,"C1R,C3,ADH1B,ABLIM1,CFD",Fibroblast,fibroblast,CL:0000057,fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast","Basal, Alveolar Fibroblast, Adventitial Fibroblast, Alveolar Epithelial Type 2",Adventitial Fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast"
1646,1646,1646,Lung,4,0.5,"PPFIBP1,TIMP3,IGFBP7,CCL21,PROX1",Lymphatic,,,immune cell,Lymphatic,"Alveolar Epithelial Type 1, Capillary, Alveolar Fibroblast, Lymphatic, Neuroendocrine",Lymphatic,"Lymphatic, Alveolar Epithelial Type 2"
1647,1647,1647,Lung,4,0.5,"C1QA,APOC1,ITGAX,C1QB,SLCO2B1",Macrophage,macrophage,CL:0000235,macrophage/monocyte,"Macrophage, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte","Mesothelial, Macrophage, Proliferating Macrophage, TREM2+ Dendritic",Macrophage,"Macrophage, Natural Killer"
1648,1648,1648,Lung,4,0.5,"KLRF1,NKG7,FCGR3A,KLRD1,SPON2",Natural Killer,natural killer cell,CL:0000623,t/nk cell,"Natural Killer, Proliferating NK/T","CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer, Proliferating NK/T",Natural Killer,"Proliferating NK/T, Plasma"
1649,1649,1649,Lung,4,0.5,"PRDX4,SEC11C,TNFRSF17,SSR4,DERL3",Plasma,plasma cell,CL:0000786,b cell,Plasma,"Plasma, Plasmacytoid Dendritic, Proliferating Macrophage, TREM2+ Dendritic",Plasma,"Goblet, Dendritic"
1650,1650,1650,Lung,4,0.5,"SFTPB,NAPSA,ABCA3,SFTPA1,SFTPC",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar Epithelial Type 2,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2",Alveolar Epithelial Type 2,Alveolar Epithelial Type 2
1651,1651,1651,Lung,4,0.5,"TPSAB1,HPGDS,GATA2,KIT,HDC",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,"Basophil/Mast 1, Basophil/Mast 2","Basophil/Mast 1, Basophil/Mast 2",Basophil/Mast,Basophil/Mast 1
1652,1652,1652,Lung,4,0.5,"FCGR3A,LST1,FCN1,AIF1,IFITM2",CD16+ Monocyte,,,macrophage/monocyte,"Macrophage, Nonclassical Monocyte, Intermediate Monocyte","Natural Killer, Macrophage, Nonclassical Monocyte, Classical Monocyte, Intermediate Monocyte",Monocyte,Natural Killer
1653,1653,1653,Lung,4,0.5,"CDC42EP1,BTNL9,CD81,NOSTRIN,RAMP3",Capillary,,,blood vessel cell,"Capillary, Vein","Alveolar Epithelial Type 2, Capillary, Macrophage, Vein",Capillary,Bronchial Vessel 2
1654,1654,1654,Lung,4,0.5,"GZMH,CCL5,CD8B,CD3D,NKG7",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,"CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer","CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer",CD8+ T,CD8+ Memory/Effector T
1655,1655,1655,Lung,4,0.5,"SCGB3A2,SFTPB,CTSE,PIGR,KIAA1324",Club,club cell,CL:0000158,epithelial cell,"Club, Ionocyte","Club, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2",Club,Club
1656,1656,1656,Lung,4,0.5,"LTBP1,COL1A1,BGN,COL3A1,ASPN",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,"Myofibroblast, Fibromyocyte, Lipofibroblast","Myofibroblast, Adventitial Fibroblast, Lipofibroblast, Vascular Smooth Muscle, Mesothelial",Fibroblast/Myofibroblast,Myofibroblast
1657,1657,1657,Lung,4,0.5,"SEC61B,IRF7,IL3RA,NPC2,TYROBP",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,"Macrophage, Nonclassical Monocyte, EREG+ Dendritic","Mesothelial, Macrophage, Plasmacytoid Dendritic, IGSF21+ Dendritic, TREM2+ Dendritic",Macrophage/Monocyte/Dendritic,Plasmacytoid Dendritic
1658,1658,1658,Lung,4,0.5,"H2AFZ,CDK1,STMN1,NUSAP1,TYMS",Proliferating Macrophage,,,macrophage/monocyte,"Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating NK/T, Proliferating Macrophage",Proliferating,Proliferating Basal
